,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,isExplicit,albumName,albumTotalTracks,totalArtists,popularity,isKPop
25,0.716,0.91,4,0.0341,0.403,0.000406,0.13,0.447,132.0,207824,4,Twice,2017-10-30,LIKEY,False,twicetagram,13,1,69,True
26,0.708,0.853,2,0.0844,0.0525,0.000173,0.399,0.399,129.946,212991,4,Twice,2016-10-24,TT,False,TWICEcoaster: LANE1,7,1,68,True
27,0.548,0.885,6,0.125,0.139,0.0,0.0716,0.509,172.946,208862,4,Twice,2016-04-25,CHEER UP,False,PAGE TWO,6,1,65,True
28,0.565,0.943,8,0.0645,0.105,0.0,0.154,0.855,164.059,186896,4,Twice,2017-12-11,Heart Shaker,False,Merry & Happy,15,1,65,True
29,0.72,0.876,6,0.0776,0.241,0.000101,0.381,0.694,141.997,215091,4,Twice,2015-10-20,OOH-AHH하게 Like OOH-AHH,False,THE STORY BEGINS,6,1,65,True
30,0.689,0.678,5,0.119,0.0702,0.0,0.0889,0.335,145.883,200306,4,EXO,2018-12-13,Love Shot,False,LOVE SHOT– The 5th Album Repackage,15,1,74,True
31,0.686,0.842,0,0.1,0.237,0.0,0.0683,0.519,115.944,224483,4,EXO,2018-11-02,Tempo,False,DON’T MESS UP MY TEMPO – The 5th Album,11,1,70,True
32,0.618,0.76,6,0.0596,0.0066,0.0,0.127,0.541,150.0,221341,4,EXO,2016-06-09,Monster,False,EX'ACT - The 3rd Album,22,1,69,True
33,0.749,0.85,0,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,190423,4,EXO,2017-07-18,Ko Ko Bop,False,THE WAR - The 4th Album,9,1,69,True
34,0.636,0.702,0,0.0334,0.0223,0.0,0.293,0.516,135.104,176026,4,EXO,2017-07-18,전야 前夜 The Eve,False,THE WAR - The 4th Album,9,1,67,True
35,0.692,0.886,1,0.0519,0.284,0.0,0.341,0.879,100.03,211013,4,EXO,2015-03-30,CALL ME BABY,False,The 2nd Album ‘EXODUS’,10,1,65,True
36,0.798,0.867,11,0.0386,0.0618,0.0,0.193,0.702,99.996,189775,4,EXO,2016-08-18,Lotto,False,LOTTO - The 3rd Album Repackage,26,1,63,True
37,0.681,0.814,11,0.0603,0.145,0.0,0.556,0.876,89.99,207053,4,EXO,2013-08-05,으르렁 Growl,False,The 1st Album 'XOXO' (Repackage),28,1,63,True
38,0.657,0.943,7,0.0856,0.0315,0.0,0.149,0.76,127.958,222406,4,EXO,2017-09-05,Power,False,THE POWER OF MUSIC– The 4th Album ‘THE WAR’ Repackage,4,1,61,True
39,0.625,0.83,0,0.0764,0.00266,0.0,0.188,0.757,110.04,205129,4,EXO,2015-06-03,LOVE ME RIGHT,False,LOVE ME RIGHT - The 2nd Album Repackage,14,1,60,True
40,0.596,0.893,1,0.16,0.0417,0.0,0.315,0.526,79.889,209519,4,Got7,2019-05-20,ECLIPSE,False,SPINNING TOP : BETWEEN SECURITY & INSECURITY,6,1,70,True
41,0.727,0.888,0,0.0881,0.015,0.0,0.113,0.726,129.993,217486,4,Got7,2018-09-18,Lullaby,False,Present : YOU,16,1,66,True
42,0.76,0.781,11,0.0641,0.233,0.0,0.106,0.736,95.97,222399,4,Got7,2015-07-13,딱 좋아(Just right),False,Just right,6,1,63,True
43,0.794,0.835,5,0.0961,0.266,0.0,0.0979,0.771,101.039,194408,4,Got7,2017-03-13,Never Ever,False,FLIGHT LOG : ARRIVAL,8,1,62,True
44,0.643,0.913,5,0.157,0.113,0.0,0.383,0.734,119.938,194535,4,Got7,2018-03-12,Look,False,Eyes On You,6,1,62,True
45,0.7,0.873,1,0.0869,0.0148,0.0,0.343,0.612,99.972,193579,4,Got7,2016-09-27,하드캐리 Hard Carry,False,FLIGHT LOG : TURBULENCE,13,1,61,True
46,0.771,0.621,0,0.0932,0.0924,0.0,0.355,0.592,94.962,194595,4,Got7,2019-05-20,1°,False,SPINNING TOP : BETWEEN SECURITY & INSECURITY,6,1,61,True
47,0.756,0.836,1,0.053,0.0176,2.85e-05,0.325,0.764,122.025,224393,4,Got7,2019-05-20,PAGE,False,SPINNING TOP : BETWEEN SECURITY & INSECURITY,6,1,61,True
48,0.706,0.835,7,0.168,0.0381,0.0,0.123,0.656,98.029,243324,4,Got7,2019-05-20,끝,False,SPINNING TOP : BETWEEN SECURITY & INSECURITY,6,1,60,True
49,0.692,0.886,8,0.0766,0.0557,0.0,0.217,0.757,129.957,210834,4,Got7,2015-11-23,니가 하면 If You Do,False,MAD Winter Edition,10,1,59,True
50,0.68,0.878,5,0.179,0.0028,2.22e-05,0.336,0.531,127.991,190860,4,Red Velvet,2019-06-19,Zimzalabim,False,‘The ReVe Festival’ Day 1,6,1,75,True
51,0.714,0.736,2,0.0457,0.191,0.0,0.0553,0.814,149.985,210818,4,Red Velvet,2018-01-29,Bad Boy,False,The Perfect Red Velvet - The 2nd Album Repackage,12,1,73,True
52,0.839,0.902,1,0.0536,0.0868,0.00257,0.272,0.639,114.953,189050,4,Red Velvet,2017-11-17,피카부 Peek-A-Boo,False,Perfect Velvet - The 2nd Album,9,1,70,True
53,0.719,0.85,2,0.0317,0.012,0.000239,0.114,0.367,150.059,188786,4,Red Velvet,2018-11-30,RBB (Really Bad Boy),False,RBB - The 5th Mini Album,6,1,67,True
54,0.709,0.917,9,0.189,0.0409,0.0,0.0839,0.515,125.042,191139,4,Red Velvet,2017-07-09,빨간 맛 Red Flavor,False,The Red Summer - Summer Mini Album,5,1,67,True
55,0.706,0.694,11,0.0722,0.149,0.0,0.11,0.586,134.96,203818,4,Red Velvet,2019-06-19,Sunny Side Up!,False,‘The ReVe Festival’ Day 1,6,1,67,True
56,0.732,0.934,8,0.144,0.0774,0.00745,0.306,0.898,159.998,202040,4,Red Velvet,2018-08-06,Power Up,False,Summer Magic - Summer Mini Album,7,1,66,True
57,0.593,0.686,1,0.0411,0.233,0.0,0.36,0.453,143.986,191099,4,Red Velvet,2019-04-05,Close To Me - Red Velvet Remix,False,Close To Me (Red Velvet Remix),1,3,66,True
58,0.778,0.789,7,0.0503,0.0334,2.05e-06,0.225,0.799,145.99,202543,4,Red Velvet,2015-09-09,Dumb Dumb,False,The Red - The 1st Album,10,1,63,True
59,0.526,0.765,11,0.243,0.0431,4.22e-06,0.39,0.84,167.813,210696,4,Red Velvet,2019-06-19,Milkshake,False,‘The ReVe Festival’ Day 1,6,1,62,True
60,0.754,0.788,2,0.0322,0.129,0.00274,0.0775,0.961,124.992,224258,4,Girls' Generation,2015-08-19,Lion Heart,False,Lion Heart - The 5th Album,12,1,58,True
61,0.701,0.964,4,0.127,0.114,9.34e-06,0.153,0.484,113.058,235434,4,Girls' Generation,2014-02-24,Mr.Mr.,False,Girls' Generation 4th Mini Album 'Mr. Mr.',6,1,56,True
62,0.502,0.863,4,0.272,0.0342,0.0,0.538,0.527,97.911,271326,4,Girls' Generation,2013-01-01,I GOT A BOY,False,The 4th Album 'I GOT A BOY',10,1,53,True
63,0.709,0.867,1,0.0672,0.0406,0.0,0.275,0.877,120.022,199563,4,Girls' Generation,2017-08-04,Holiday,False,Holiday Night - The 6th Album,10,1,53,True
64,0.777,0.807,9,0.0517,0.0308,2.93e-05,0.228,0.732,129.984,222894,4,Girls' Generation,2017-08-04,All Night,False,Holiday Night - The 6th Album,10,1,52,True
65,0.753,0.887,10,0.0359,0.111,1.43e-05,0.0729,0.946,122.981,193814,4,Girls' Generation,2015-08-19,PARTY,False,Lion Heart - The 5th Album,12,1,51,True
66,0.714,0.852,9,0.274,0.0154,0.0,0.135,0.565,133.989,225173,4,Girls' Generation,2015-04-10,Catch Me If You Can - Korean Version,False,Catch Me If You Can,2,1,51,True
67,0.697,0.832,4,0.05,0.00322,0.0,0.196,0.286,100.017,188609,4,Girls' Generation,2015-08-19,You Think,False,Lion Heart - The 5th Album,12,1,50,True
68,0.88,0.949,1,0.0808,0.183,0.0,0.187,0.942,114.976,226893,4,Girls' Generation,2011-01-01,The Boys,False,The Boys,17,1,48,True
69,0.692,0.602,7,0.0253,0.0667,0.0,0.108,0.521,111.068,214251,4,Girls' Generation,2017-08-04,One Last Time,False,Holiday Night - The 6th Album,10,1,44,True
70,0.806,0.707,7,0.0307,0.331,0.0,0.294,0.746,118.011,209648,4,iKON,2018-01-25,LOVE SCENARIO,False,Return,12,1,76,True
71,0.76,0.672,9,0.0732,0.465,0.0,0.205,0.505,127.986,193734,4,iKON,2019-01-07,KILLING ME,False,NEW KIDS REPACKAGE : THE NEW KIDS,23,1,60,True
72,0.539,0.597,0,0.0673,0.335,0.0,0.142,0.436,179.857,216647,4,iKON,2019-01-07,I’M OK,False,NEW KIDS REPACKAGE : THE NEW KIDS,23,1,64,True
73,0.764,0.819,2,0.114,0.127,0.0,0.332,0.603,81.975,227056,4,iKON,2015-12-24,RHYTHM TA,False,WELCOME BACK,11,1,58,True
74,0.457,0.745,4,0.0864,0.19,0.0,0.17,0.568,67.927,230149,5,iKON,2018-01-25,BEST FRIEND,False,Return,12,1,56,True
75,0.781,0.94,2,0.067,0.069,0.0,0.0992,0.537,125.009,219225,4,iKON,2019-01-07,BLING BLING,False,NEW KIDS REPACKAGE : THE NEW KIDS,23,1,55,True
76,0.665,0.771,6,0.0791,0.247,0.0,0.112,0.331,75.003,231628,4,iKON,2015-12-24,APOLOGY,False,WELCOME BACK,11,1,55,True
77,0.579,0.852,4,0.0521,0.0607,0.0,0.41,0.64,79.01,239104,4,iKON,2019-01-07,GOODBYE ROAD,False,NEW KIDS REPACKAGE : THE NEW KIDS,23,1,54,True
78,0.793,0.541,1,0.0396,0.191,0.0,0.0931,0.709,93.983,210939,4,iKON,2015-12-24,MY TYPE,False,WELCOME BACK,11,1,54,True
79,0.746,0.859,0,0.0998,0.268,0.0,0.0812,0.702,110.02,196016,4,iKON,2018-01-25,BEAUTIFUL,False,Return,12,1,54,True
80,0.782,0.637,10,0.264,0.28,0.0,0.114,0.389,101.989,189035,4,MONSTA X,2019-06-14,WHO DO U LOVE?,False,WHO DO U LOVE?,1,2,73,True
81,0.812,0.805,9,0.243,0.00677,0.0,0.0833,0.568,119.958,169812,4,MONSTA X,2019-03-22,Play It Cool,False,Play It Cool,1,2,71,True
82,0.613,0.868,6,0.143,0.0599,0.0,0.352,0.394,165.133,207173,4,MONSTA X,2018-10-22,Shoot Out,False,Take.1 Are You There?,10,1,64,True
83,0.571,0.779,8,0.111,0.135,0.0,0.202,0.261,186.154,186296,4,MONSTA X,2017-11-07,DRAMARAMA,False,THE CODE,7,1,63,True
84,0.71,0.945,5,0.07,0.0654,0.0,0.111,0.716,98.032,192516,4,MONSTA X,2019-02-18,Alligator,False,Take.2 We Are Here.,10,1,63,True
85,0.683,0.893,5,0.162,0.0754,0.0,0.226,0.909,146.082,231952,4,MONSTA X,2015-09-07,HERO,False,RUSH,6,1,63,True
86,0.695,0.852,6,0.127,0.00701,0.0,0.14,0.496,102.988,207030,4,MONSTA X,2018-03-26,Jealousy,False,THE CONNECT : DEJAVU,7,1,60,True
87,0.817,0.82,0,0.194,0.0125,0.0,0.0793,0.422,120.012,186799,4,MONSTA X,2019-02-18,Play It Cool,False,Take.2 We Are Here.,10,2,60,True
88,0.62,0.906,2,0.139,0.163,0.0,0.214,0.884,154.002,204010,4,MONSTA X,2017-03-21,Beautiful,False,THE CLAN pt.2.5 [BEAUTIFUL],10,1,58,True
89,0.692,0.861,9,0.0954,0.00646,0.0165,0.0647,0.494,127.979,279375,4,MONSTA X,2019-05-24,Play It Cool - Quintino Remix,False,Play It Cool (Quintino Remix),1,3,56,True
90,0.694,0.832,5,0.0598,0.0192,0.0,0.355,0.424,135.011,220238,4,BIGBANG,2016-12-13,BANG BANG BANG,False,MADE,11,1,67,True
91,0.72,0.746,0,0.107,0.152,0.0,0.276,0.587,90.026,231811,4,BIGBANG,2016-12-13,FXXK IT,False,MADE,11,1,64,True
92,0.648,0.681,0,0.0937,0.404,0.0,0.329,0.488,89.947,219429,4,BIGBANG,2016-12-13,LOSER,False,MADE,11,1,62,True
93,0.687,0.914,6,0.0437,0.166,0.0,0.0858,0.675,126.001,256360,4,BIGBANG,2008-08-08,Haru Haru,False,Stand Up,6,1,61,True
94,0.669,0.447,1,0.0305,0.524,0.0,0.167,0.17,141.808,264281,4,BIGBANG,2016-12-13,IF YOU,False,MADE,11,1,61,True
95,0.621,0.673,1,0.0606,0.467,0.0,0.323,0.289,143.889,279719,4,BIGBANG,2016-12-13,LAST DANCE,False,MADE,11,1,60,True
96,0.687,0.63,0,0.0401,0.0084,0.0,0.208,0.402,140.011,169482,4,BIGBANG,2016-12-13,BAE BAE,False,MADE,11,1,58,True
97,0.685,0.843,0,0.0499,0.121,0.0,0.126,0.637,125.029,211984,4,BIGBANG,2016-12-13,LET’S NOT FALL IN LOVE,False,MADE,11,1,57,True
98,0.649,0.827,5,0.0838,0.00676,0.0,0.916,0.456,129.963,237584,4,BIGBANG,2016-12-13,SOBER,False,MADE,11,1,57,True
99,0.723,0.828,11,0.0729,0.00455,0.0,0.0405,0.433,130.01,231627,4,BIGBANG,2012-03-28,FANTASTIC BABY - Japanese ver.,False,ALIVE,9,1,57,True
100,0.759,0.54,9,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4,Shawn Mendes,2019-06-21,Señorita,False,Señorita,1,2,97,False
101,0.692,0.809,2,0.0602,0.524,0.0,0.147,0.864,123.911,190800,4,Shawn Mendes,2019-05-03,If I Can't Have You,False,If I Can't Have You,1,1,95,False
102,0.444,0.819,10,0.341,0.106,0.0,0.107,0.747,82.695,187973,4,Shawn Mendes,2017-04-20,Treat You Better,False,Illuminate,13,1,84,False
103,0.622,0.712,5,0.066,0.0573,0.0,0.13,0.487,140.025,211360,4,Shawn Mendes,2018-05-25,In My Blood,False,Shawn Mendes,14,1,83,False
104,0.866,0.813,11,0.0554,0.38,0.0,0.0779,0.969,121.998,199440,4,Shawn Mendes,2017-04-20,There's Nothing Holdin' Me Back,False,Illuminate (Deluxe),16,1,83,False
105,0.555,0.662,11,0.0827,0.125,0.0,0.111,0.356,148.128,208733,4,Shawn Mendes,2017-04-20,Mercy,False,Illuminate (Deluxe),16,1,81,False
106,0.713,0.738,10,0.374,0.255,0.0,0.106,0.425,105.027,201200,4,Shawn Mendes,2018-05-25,Lost In Japan,False,Shawn Mendes,14,1,81,False
107,0.853,0.476,8,0.0361,0.405,0.0,0.111,0.796,92.038,235747,4,Shawn Mendes,2018-05-25,Fallin' All In You,False,Shawn Mendes,14,1,77,False
108,0.534,0.596,6,0.117,0.56,0.0,0.133,0.324,100.121,190867,4,Shawn Mendes,2018-05-25,Youth (feat. Khalid),False,Shawn Mendes,14,2,77,False
109,0.746,0.754,1,0.067,0.0152,0.0,0.0486,0.764,149.882,206880,4,Shawn Mendes,2015-04-14,Stitches,False,Handwritten,13,1,74,False
110,0.701,0.425,7,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,Billie Eilish,2019-03-29,bad guy,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,99,False
111,0.367,0.111,4,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,Billie Eilish,2019-03-29,when the party's over,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,91,False
112,0.905,0.389,8,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,Billie Eilish,2019-03-29,bury a friend,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,91,False
113,0.351,0.296,4,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,Billie Eilish,2018-04-19,lovely (with Khalid),False,lovely (with Khalid),1,2,90,False
114,0.853,0.351,7,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543,4,Billie Eilish,2019-03-29,wish you were gay,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,89,False
115,0.678,0.533,4,0.186,0.462,0.219,0.139,0.323,150.455,180953,4,Billie Eilish,2019-03-29,you should see me in a crown,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,87,False
116,0.939,0.305,8,0.354,0.35,0.000169,0.105,0.563,100.029,179889,4,Billie Eilish,2019-03-29,my strange addiction,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,85,False
117,0.421,0.131,0,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,Billie Eilish,2019-03-29,i love you,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,85,False
118,0.726,0.444,8,0.372,0.283,0.143,0.177,0.569,185.044,168840,4,Billie Eilish,2019-03-29,all the good girls go to hell,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,1,85,False
119,0.483,0.412,7,0.0402,0.737,0.0,0.116,0.247,170.163,203569,3,Billie Eilish,2017-12-22,idontwannabeyouanymore,False,dont smile at me,9,1,85,False
120,0.778,0.317,1,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4,Ariana Grande,2019-02-08,7 rings,True,"thank u, next",12,1,91,False
121,0.717,0.653,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4,Ariana Grande,2019-02-08,"thank u, next",True,"thank u, next",12,1,89,False
122,0.726,0.554,5,0.0917,0.0421,0.0,0.106,0.335,169.999,190440,4,Ariana Grande,2019-02-08,"break up with your girlfriend, i'm bored",True,"thank u, next",12,1,88,False
123,0.699,0.713,9,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4,Ariana Grande,2018-08-17,no tears left to cry,False,Sweetener,15,1,84,False
124,0.602,0.658,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4,Ariana Grande,2018-08-17,God is a woman,True,Sweetener,15,1,82,False
125,0.628,0.593,8,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4,Ariana Grande,2014-08-25,One Last Time,False,My Everything (Deluxe),15,1,81,False
126,0.65,0.736,6,0.229,0.0513,0.0,0.235,0.612,159.174,226160,4,Ariana Grande,2016-05-20,Side To Side,True,Dangerous Woman,15,2,80,False
127,0.568,0.656,8,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,198160,4,Ariana Grande,2018-08-17,breathin,True,Sweetener,15,1,80,False
128,0.623,0.734,9,0.107,0.0162,1.9e-06,0.145,0.372,107.853,244453,4,Ariana Grande,2016-05-20,Into You,False,Dangerous Woman,15,1,80,False
129,0.737,0.461,6,0.293,0.447,0.0,0.268,0.481,75.005,182000,4,Ariana Grande,2018-02-07,NASA,False,"thank u, next",12,1,63,False
130,0.351,0.296,4,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,Khalid,2018-04-19,lovely (with Khalid),False,lovely (with Khalid),1,2,90,False
131,0.901,0.4,0,0.126,0.051,0.0,0.0599,0.346,135.984,197573,4,Khalid,2019-04-05,Talk,False,Free Spirit,17,1,88,False
132,0.64,0.648,5,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4,Khalid,2019-06-28,Beautiful People (feat. Khalid),False,Beautiful People (feat. Khalid),1,2,87,False
133,0.632,0.686,6,0.243,0.549,0.0,0.2,0.329,89.949,170770,4,Khalid,2018-12-07,Eastside (with Halsey & Khalid),False,FRIENDS KEEP SECRETS,7,3,80,False
134,0.596,0.552,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4,Khalid,2018-10-18,Better,False,Suncity,7,1,83,False
135,0.798,0.539,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547,4,Khalid,2017-04-27,Young Dumb & Broke,False,American Teen,15,1,83,False
136,0.729,0.545,0,0.0316,0.0174,0.000274,0.369,0.514,103.012,177067,4,Khalid,2019-04-05,Outta My Head (with John Mayer),False,Free Spirit,17,2,83,False
137,0.52,0.761,4,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823,4,Khalid,2017-08-11,Silence,False,Silence,1,2,82,False
138,0.736,0.449,1,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4,Khalid,2017-04-27,Location,False,American Teen,15,1,82,False
139,0.708,0.648,6,0.0449,0.0956,0.0,0.134,0.338,143.955,201707,4,Khalid,2018-02-14,Love Lies (with Normani),False,Love Lies (with Normani),1,2,81,False
140,0.645,0.862,11,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4,Halsey,2019-04-12,Boy With Luv (feat. Halsey),False,MAP OF THE SOUL : PERSONA,7,2,91,False
141,0.752,0.488,6,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,Halsey,2018-10-04,Without Me,True,Without Me,1,1,90,False
142,0.611,0.622,9,0.0734,0.0188,0.0,0.359,0.538,146.11,231999,4,Halsey,2019-05-17,Nightmare,True,Nightmare,1,1,86,False
143,0.632,0.686,6,0.243,0.549,0.0,0.2,0.329,89.949,170770,4,Halsey,2018-12-07,Eastside (with Halsey & Khalid),False,FRIENDS KEEP SECRETS,7,3,80,False
144,0.589,0.731,2,0.0868,0.0534,0.0,0.308,0.191,87.908,268867,4,Halsey,2017-12-15,Him & I (with Halsey),True,The Beautiful & Damned,20,2,78,False
145,0.675,0.751,0,0.0296,0.0604,0.0,0.0893,0.612,118.384,181279,4,Halsey,2017-06-02,Bad At Love,False,hopeless fountain kingdom (Deluxe),16,1,78,False
146,0.464,0.852,11,0.067,0.0116,0.0,0.108,0.233,160.075,239507,4,Halsey,2019-02-14,11 Minutes (with Halsey feat. Travis Barker),True,11 Minutes (with Halsey feat. Travis Barker),1,3,76,False
147,0.513,0.25,5,0.0367,0.913,0.0,0.117,0.351,74.103,220541,4,Halsey,2017-06-02,Sorry,False,hopeless fountain kingdom (Deluxe),16,1,75,False
148,0.731,0.58,10,0.0399,0.223,0.0,0.129,0.319,119.997,199593,4,Halsey,2015-08-28,Gasoline,True,BADLANDS (Deluxe),16,1,74,False
149,0.742,0.515,6,0.0747,0.351,0.0,0.184,0.452,136.02,228816,4,Halsey,2019-01-09,Without Me (with Juice WRLD),True,Without Me (with Juice WRLD),1,2,73,False
150,0.583,0.829,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4,Rihanna,2007-01-01,Umbrella,False,Good Girl Gone Bad,12,2,62,False
151,0.576,0.267,2,0.044,0.878,0.0,0.119,0.326,205.888,188238,4,Rihanna,2015-01-24,FourFiveSeconds,False,FourFiveSeconds,1,3,78,False
152,0.509,0.637,4,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000,3,Rihanna,2016-01-28,Love On The Brain,True,ANTI,13,1,71,False
153,0.697,0.467,9,0.0715,0.248,0.0,0.0941,0.572,82.081,229413,4,Rihanna,2008-06-02,Take A Bow,False,Good Girl Gone Bad: Reloaded,15,1,77,False
154,0.835,0.669,6,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4,Rihanna,2007-01-01,Don't Stop The Music,False,Good Girl Gone Bad,12,1,60,False
155,0.778,0.741,10,0.0484,0.0538,2.04e-06,0.29,0.364,102.95,219306,4,Rihanna,2015-03-26,Bitch Better Have My Money,True,Bitch Better Have My Money,1,1,75,False
